date,resting_hr_bpm,hrv_ms,avg_hr_bpm,min_hr_bpm,max_hr_bpm,deep_sleep_hrs,rem_sleep_hrs,core_sleep_hrs,awake_hrs,total_sleep_hrs,steps,vo2max,active_calories_kcal,workout_activity,workout_duration_min,workout_avg_hr_bpm,workout_peak_hr_bpm,workout_min_hr_bpm
2026-07-29,66,53,113,84,186,1.13,1.68,4.7,0.4,7.9,11547,28.8,278,Walking,71,137,155,125
2026-07-30,66,42,112,79,143,0.94,2.33,3.67,0.36,7.3,10079,28.7,389,Walking,22,136,166,125
2026-07-31,69,42,114,92,144,1.13,1.37,3.85,0.12,6.5,15922,28.9,379,Walking,67,129,165,99
2026-08-01,64,54,113,91,183,1.32,1.64,5.19,0.2,8.3,18366,28.8,462,Walking,72,136,174,111
2026-08-02,68,45,116,96,198,1.05,1.89,3.63,0.26,6.8,11934,28.9,427,,,,,
2026-08-03,65,50,116,88,170,1.54,2.01,3.89,0.14,7.6,17879,29.1,578,Walking,61,127,143,115
2026-08-04,68,50,115,92,150,1.23,1.63,4.48,0.12,7.5,13629,29.0,412,Walking,92,124,161,107
2026-08-05,65,38,116,82,152,1.22,1.5,3.37,0.07,6.2,18337,28.8,561,Walking,61,126,162,109
2026-08-06,64,38,114,81,155,1.21,1.58,3.99,0.26,7.0,18374,29.3,517,FunctionalStrengthTraining,87,153,188,134
2026-08-07,71,50,119,99,164,0.65,1.4,4.57,0.35,7.0,16518,28.8,734,Hiking,87,167,193,138
2026-08-08,69,47,114,81,177,0.91,1.82,5.19,0.29,8.2,12412,29.1,780,,,,,
2026-08-09,69,49,115,93,192,1.48,1.87,5.18,0.19,8.7,14459,29.1,700,Walking,73,128,145,103
2026-08-10,69,47,113,90,162,0.89,2.31,4.51,0.34,8.0,10869,28.9,568,Walking,45,139,173,123
2026-08-11,69,39,116,91,184,0.52,2.28,4.18,0.05,7.0,8716,29.2,700,Walking,81,130,153,113
2026-08-12,63,47,112,95,161,1.35,2.18,3.3,0.17,7.0,8282,28.9,579,StairClimbing,16,155,185,144
2026-08-13,65,40,117,97,182,1.56,1.39,4.1,0.28,7.3,12658,29.3,584,Walking,94,133,159,113
2026-08-14,70,41,116,89,152,0.52,1.42,3.97,0.27,6.2,9062,28.9,689,Walking,66,136,172,125
2026-08-15,65,40,114,83,139,1.34,1.79,3.83,0.18,7.1,9512,29.3,503,Hiking,91,164,195,144
2026-08-16,66,47,106,82,158,1.42,1.88,5.14,0.33,8.8,8585,29.4,404,Walking,68,123,158,93
2026-08-17,68,49,113,84,193,1.42,1.99,4.73,0.38,8.5,4605,29.1,329,Walking,89,138,159,115
2026-08-18,65,45,110,89,137,0.54,1.58,3.79,0.28,6.2,2798,29.1,357,Walking,36,134,168,114
2026-08-19,62,47,108,75,154,0.67,1.38,3.53,0.16,5.7,9786,29.5,429,,,,,
2026-08-20,66,43,107,86,179,1.56,1.31,3.74,0.4,7.0,7043,29.1,231,Walking,75,128,162,105
2026-08-21,67,52,112,79,138,1.09,2.28,3.24,0.37,7.0,6207,29.2,224,Walking,62,134,177,113
2026-08-22,65,47,108,86,180,1.05,1.87,4.15,0.4,7.5,3954,29.5,409,Hiking,83,149,187,130
2026-08-23,59,50,113,93,169,1.59,1.43,5.16,0.12,8.3,8121,29.4,195,Walking,29,133,155,104
2026-08-24,63,51,110,89,158,1.31,2.35,4.24,0.22,8.1,2475,29.0,193,Walking,81,134,175,106
2026-08-25,62,53,112,94,164,1.42,1.82,4.1,0.15,7.5,10214,29.6,128,,,,,
2026-08-26,62,59,112,90,194,1.0,2.35,3.94,0.29,7.6,10838,29.5,368,Walking,33,126,155,108
2026-08-27,60,56,112,96,163,0.76,1.78,3.9,0.22,6.7,9469,29.3,110,,,,,
2026-08-28,68,56,106,75,193,1.35,1.7,4.09,0.09,7.2,3881,29.6,231,HighIntensityIntervalTraining,66,158,196,141
2026-08-29,68,57,112,95,162,1.2,1.36,3.2,0.09,5.9,3946,29.3,152,Walking,58,139,168,123
2026-08-30,62,49,113,89,140,1.18,2.34,4.79,0.12,8.4,5966,29.5,263,Walking,43,127,153,114
2026-08-31,68,59,112,79,196,1.09,1.42,5.07,0.18,7.8,14214,29.6,462,,,,,
2026-09-01,66,57,110,89,157,0.7,1.49,3.34,0.22,5.7,7288,29.6,423,Walking,41,129,161,111
2026-09-02,68,48,110,93,185,0.87,1.79,4.06,0.36,7.1,9735,29.3,527,Walking,31,128,160,109
2026-09-03,70,44,112,83,172,0.85,2.27,3.34,0.25,6.7,9002,29.7,590,StairClimbing,38,167,192,156
2026-09-04,70,49,105,86,142,0.71,1.99,3.81,0.22,6.7,14479,29.7,418,Walking,23,129,155,113
2026-09-05,67,45,113,95,166,0.72,1.59,4.31,0.06,6.7,10071,29.7,440,,,,,
2026-09-06,67,44,103,73,183,1.25,1.49,3.67,0.36,6.8,14544,29.5,576,Walking,39,131,157,116
